path,directory,filename,extension,size_bytes,line_count,category,status,purpose,entry_point,imported_by,imports,input_artifacts,output_artifacts,environment_variables,safety_notes,related_files,generated,source_control_recommended,confidence,notes
scripts/build_10s_microstructure_training_rows.py,scripts,build_10s_microstructure_training_rows.py,.py,12841,309,feature/row builder,tracked,Build 10s microstructure training rows script/module.,yes,,hierarchical_context; microstructure_model_utils; os; pandas; pathlib; time,csv inputs,csv reports,MAX_MICRO_SNAPSHOTS; MICRO_INPUT_SNAPSHOT_PATH; MICRO_MOVE_THRESHOLD; MICRO_MOVE_THRESHOLD_MODE; MICRO_MOVE_THRESHOLD_QUANTILE; MICRO_OUTPUT_TRAINING_PATH; MICRO_PROGRESS_EVERY_ROWS; MICRO_PROGRESS_EVERY_SECONDS; MIN_MICRO_MOVE_THRESHOLD; OUTPUT_DIR; PRIMARY_VENUE; SYMBOL,,scripts/backtest_10s_microstructure_model.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_15m_regime_features.py,scripts,build_15m_regime_features.py,.py,7806,232,feature/row builder,tracked,Build 15m regime features script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,SYMBOL,,scripts/build_10s_microstructure_training_rows.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_1m_flow_features.py,scripts,build_1m_flow_features.py,.py,12104,350,feature/row builder,tracked,Build 1m flow features script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,CHANGE_CLIP; DEPTH_CHANGE_RATIO_CLIP; OUTPUT_DIR; PRIMARY_VENUE; STRICT_ZERO_VOLUME_READY; SYMBOL,,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_1s_order_flow_training_rows.py,scripts,build_1s_order_flow_training_rows.py,.py,21337,489,feature/row builder,tracked,Build 1s order flow training rows script/module.,yes,,microstructure_model_utils; numpy; os; pandas; pathlib,csv inputs,csv reports,FLOW_1S_BURST_LOOKBACK_ROWS; FLOW_1S_BURST_QUANTILE; FLOW_1S_MIN_BURST_LOOKBACK_ROWS; FLOW_1S_MIN_DIRECTIONAL_TRADE_COUNT; FLOW_1S_MIN_DIRECTIONAL_VOLUME; FLOW_1S_PRESSURE_CLASS_THRESHOLD; FLOW_PRESSURE_THRESHOLD; MAX_1S_FLOW_TRAINING_ROWS; MAX_FLOW_1S_SNAPSHOTS; MAX_NEXT_SECOND_GAP_MS; OUTPUT_DIR; PRIMARY_VENUE; SYMBOL,paper-only/no-orders language present,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_30m_regime_features.py,scripts,build_30m_regime_features.py,.py,7806,232,feature/row builder,tracked,Build 30m regime features script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,SYMBOL,,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_5m_context_training_rows.py,scripts,build_5m_context_training_rows.py,.py,10683,248,feature/row builder,tracked,Build closed-5m context training rows from realtime market-flow files.,yes,,__future__; datetime; math; numpy; os; pandas; pandas.errors; pathlib,csv inputs; data/realtime,csv reports; data/realtime,CONTEXT_5M_MIN_CANDLES; CONTEXT_5M_TARGET_MOVE_BPS; CONTEXT_5M_TRAINING_ROWS_PATH; OUTPUT_DIR; PRIMARY_VENUE; SYMBOL,paper-only/no-orders language present; promotion/champion mutation terms present; audit before operational use,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_5m_cross_asset_context_training_rows.py,scripts,build_5m_cross_asset_context_training_rows.py,.py,60015,1184,feature/row builder,tracked,Build SOL-centered cross-asset 5m context rows from Binance 1m candle flow files.,yes,,__future__; datetime; math; numpy; os; pandas; pandas.errors; pathlib,csv inputs; data/realtime,csv reports; data/realtime,CROSS_ASSET_1M_SHARED_DIR; CROSS_ASSET_CONTEXT_FEATURE_GROUPS; CROSS_ASSET_CONTEXT_MIN_ROWS; CROSS_ASSET_CONTEXT_TARGET_MOVE_BPS; CROSS_ASSET_CONTEXT_TRAINING_ROWS_PATH; CROSS_ASSET_CONTEXT_VENUE; CROSS_ASSET_FUTURE_TARGET_MAX_GAP_MS; CROSS_ASSET_INCLUDE_1M_VELOCITY; CROSS_ASSET_INCLUDE_UNLABELED_RECENT; CROSS_ASSET_RECENT_LOOKBACK_BUFFER_MINUTES; CROSS_ASSET_RECENT_ONLY; CROSS_ASSET_RECENT_REBUILD_DAYS; CROSS_ASSET_REGIME_CHOP_ABS_RETURN_BPS; CROSS_ASSET_REGIME_CHOP_RANGE_BPS; CROSS_ASSET_REGIME_CHOP_RATIO_MIN; CROSS_ASSET_REGIME_CHOP_VOL_BPS; CROSS_ASSET_REGIME_FUTURE_CHOP_ABS_RETURN_BPS; CROSS_ASSET_REGIME_FUTURE_CHOP_RANGE_BPS; CROSS_ASSET_REGIME_FUTURE_CHOP_VOL_BPS; CROSS_ASSET_REGIME_FUTURE_HIGH_VOL_BPS; CROSS_ASSET_REGIME_FUTURE_HIGH_VOL_RANGE_BPS; CROSS_ASSET_REGIME_HIGH_VOL_BPS; CROSS_ASSET_REGIME_HIGH_VOL_QUANTILE; CROSS_ASSET_REGIME_HIGH_VOL_RANGE_BPS; CROSS_ASSET_REGIME_TRANSITION_BODY_FRACTION_MAX; CROSS_ASSET_REGIME_TRANSITION_RANGE_BPS; CROSS_ASSET_REGIME_TREND_BODY_FRACTION_MIN; CROSS_ASSET_REGIME_TREND_MAX_CHOP_RATIO; CROSS_ASSET_REGIME_TREND_RETURN_BPS; CROSS_ASSET_SYMBOLS; CROSS_ASSET_TARGET_SYMBOL; CROSS_ASSET_VELOCITY_MAX_AGE_MS; OUTPUT_DIR; SYMBOL,paper-only/no-orders language present; promotion/champion mutation terms present; audit before operational use,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_combined_simulated_market_dataset.py,scripts,build_combined_simulated_market_dataset.py,.py,450,15,feature/row builder,tracked,Compatibility launcher for scripts/tiny/simulation/build_combined_simulated_market_dataset.py.,yes,,__future__; pathlib; runpy,,,,,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_cross_venue_features.py,scripts,build_cross_venue_features.py,.py,14422,370,feature/row builder,tracked,Build cross venue features script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,CROSS_VENUE_STALE_MS; OUTPUT_DIR; SYMBOL; SYMBOLS; VENUES,,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_ensemble_training_rows.py,scripts,build_ensemble_training_rows.py,.py,16145,427,feature/row builder,tracked,Build ensemble training rows script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,MAX_FLOW_FEATURE_AGE_MS; MAX_OLD_PREDICTION_AGE_MS; OLD_PREDICTIONS_PATH; REGIME_TIMEFRAME; SYMBOL,,scripts/backtest_ensemble_predictions.py; scripts/backtest_pinned_tiny_price_ensemble_on_snapshots.py; scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_hierarchy_mediator_training_rows.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_hierarchy_mediator_training_rows.py,scripts,build_hierarchy_mediator_training_rows.py,.py,8546,192,feature/row builder,tracked,Build hierarchy mediator training rows script/module.,yes,,numpy; os; pandas; pandas.errors; pathlib,csv inputs,csv reports,OUTPUT_DIR; PRIMARY_VENUE; SYMBOL,paper-only/no-orders language present,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_historical_offer_training_rows.py; scripts/build_htf_context_features.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_historical_offer_training_rows.py,scripts,build_historical_offer_training_rows.py,.py,12082,311,feature/row builder,tracked,Build historical offer training rows script/module.,yes,,hierarchical_context; live_3m_model_utils; numpy; offer_model_utils; os; pandas; pathlib; train_python_model,csv inputs,csv reports,ADVERSE_PENALTY; ALLOCATION_ADVERSE_WEIGHT; ALLOCATION_FAVORABLE_WEIGHT; ALLOCATION_VELOCITY_WEIGHT; COST_PROFILE; ESTIMATED_SLIPPAGE; LOOKBACK; MAKER_ROUND_TRIP_COST; MAX_SNAPSHOTS; RANDOM_SEED; ROUND_TRIP_COST; ROUND_TRIP_COST; SAMPLING_MODE; SPREAD_COST; SYMBOL; TAKER_ROUND_TRIP_COST; TIME_PENALTY,paper-only/no-orders language present,scripts/backtest_offer_acceptance_model.py; scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_htf_context_features.py,scripts,build_htf_context_features.py,.py,10230,262,feature/row builder,tracked,Build htf context features script/module.,yes,,numpy; os; pandas; pathlib,csv inputs,csv reports,SYMBOL,,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_live_offer_training_rows.py,scripts,build_live_offer_training_rows.py,.py,8932,233,feature/row builder,tracked,Build live offer training rows script/module.,yes,,hierarchical_context; live_3m_model_utils; numpy; offer_model_utils; os; pandas; pathlib,csv inputs,csv reports,ADVERSE_PENALTY; ALLOCATION_ADVERSE_WEIGHT; ALLOCATION_FAVORABLE_WEIGHT; ALLOCATION_VELOCITY_WEIGHT; COST_PROFILE; ESTIMATED_SLIPPAGE; EXCLUDE_AMBIGUOUS_OFFERS; MAKER_ROUND_TRIP_COST; MAX_OLD_PREDICTION_AGE_MS; PRIMARY_VENUE; ROUND_TRIP_COST; ROUND_TRIP_COST; SPREAD_COST; SYMBOL; TAKER_ROUND_TRIP_COST; TIME_PENALTY; USE_OLD_MODEL_CONTEXT,paper-only/no-orders language present,scripts/backtest_offer_acceptance_model.py; scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
scripts/build_multi_source_tiny_price_training_rows.py,scripts,build_multi_source_tiny_price_training_rows.py,.py,13871,336,feature/row builder,tracked,Build multi source tiny price training rows script/module.,yes,,json; numpy; os; pandas; pandas.errors; pathlib; re; tiny_price_feature_utils,csv inputs,csv reports; txt/json reports,OUTPUT_DIR; PRICE_TINY_MULTI_SOURCE_ADD_SOURCE_FEATURES; PRICE_TINY_MULTI_SOURCE_OUTPUT_VENUE; PRICE_TINY_MULTI_SOURCE_PATHS; PRICE_TINY_MULTI_SOURCE_VENUES; PRICE_TINY_SOURCE_WEIGHTS; SYMBOL,paper-only/no-orders language present; promotion/champion mutation terms present; audit before operational use,scripts/build_10s_microstructure_training_rows.py; scripts/build_15m_regime_features.py; scripts/build_1m_flow_features.py; scripts/build_1s_order_flow_training_rows.py; scripts/build_30m_regime_features.py; scripts/build_5m_context_training_rows.py; scripts/build_5m_cross_asset_context_training_rows.py; scripts/build_combined_simulated_market_dataset.py; scripts/build_cross_venue_features.py; scripts/build_ensemble_training_rows.py; scripts/build_hierarchy_mediator_training_rows.py; scripts/build_historical_offer_training_rows.py,false,true,high,Generated from static scan; verify runtime-specific behavior in source before safety-critical use.
